family,variant,pipeline,runs,offline_failure_rate,online_failure_rate,total_objective_mean,total_objective_std,total_objective_sem,total_objective_ci95,offline_obj_mean,offline_obj_std,offline_obj_ci95,online_cost_mean,online_cost_std,online_cost_ci95,offline_runtime_mean,offline_runtime_std,online_runtime_mean,online_runtime_std,offline_fallback_mean,offline_fallback_ci95,online_fallback_mean,online_fallback_ci95,final_fallback_mean,final_fallback_ci95
baseline_ab,baseline_A,MILP+NextFit,30,0.0,1.0,256.74406066025284,61.62372133771232,11.250900751359156,22.051765472663945,69.22739594136785,1.6440645620088106,0.5883209477832899,187.51666471888498,61.94633510753532,22.167211327538585,0.012389310201009114,0.0017365584019654,0.0007591278757899999,0.0002130324891079807,0.0,0.0,0.0,0.0,0.0,0.0
baseline_ab,baseline_B,BFD+BestFit,30,0.0,0.0,895.9026322806188,29.145482379143623,5.3212127161420995,10.429576923638514,179.69806291744428,9.963451492082541,3.5653753267771138,716.2045693631748,25.45009661116457,9.107200109685472,0.0006414944228405754,1.5733676532530284e-05,0.004529408326682945,0.00015885530100949365,0.0,0.0,0.0,0.0,0.0,0.0
baseline_ab,baseline_B,BFD+NextFit,30,0.0,1.0,350.0639113471345,60.66383458085394,11.075650208231885,21.708274408134493,179.69806291744428,9.963451492082541,3.5653753267771138,170.36584842969026,59.72885406434706,21.373695927251646,0.0006390471554671725,6.227617955327612e-05,0.0006550028842563431,0.0002113379506943191,0.0,0.0,0.0,0.0,0.0,0.0
baseline_ab,baseline_B,CostAwareBFD+CostAwareBestFit,30,0.0,0.0,373.35320119936284,6.691863839943326,1.2217615922967,2.394652720901532,68.38647784714355,1.5346212217039947,0.5491571514308975,304.96672335221933,6.166233965272231,2.2065584859209637,0.0007252442883327603,1.644051176476045e-05,0.0618686721737807,0.003041589974743683,0.0,0.0,0.0,0.0,0.0,0.0
baseline_ab,baseline_B,FFD+BestFit,30,0.0,0.0,895.3399246740522,23.70605133576075,4.328113021990546,8.483101523101471,179.43222240689454,9.176779251809412,3.2838682809547786,715.9077022671577,20.303660132231073,7.265571467502971,8.381810039281845e-05,5.901167647667849e-06,0.004525438928976655,0.0001417164199126466,0.0,0.0,0.0,0.0,0.0,0.0
baseline_ab,baseline_B,FFD+NextFit,30,0.0,1.0,526.2994251486384,129.04590467957271,23.560450982221152,46.17848392515346,179.43222240689454,9.176779251809412,3.2838682809547786,346.867202741744,125.29749376701547,44.83713230690411,8.080554349968831e-05,6.939882917861564e-06,0.000874419502603511,0.00029357934945645247,0.0,0.0,0.0,0.0,0.0,0.0
baseline_ab,baseline_B,MILP(BFD-warm)+BestFit,30,0.0,0.0,781.3387939275271,18.42662693819436,3.3642264109271345,6.593883765417184,68.28688532395272,1.4907032999901273,0.5334413249819625,713.0519086035744,18.42351117131465,6.592768802558607,0.010375229517618816,0.0016628017386010635,0.004951212562931081,0.002092879786447371,0.0,0.0,0.0,0.0,0.0,0.0
baseline_ab,baseline_B,MILP(BFD-warm)+CostAwareBestFit,30,0.0,0.0,373.2667134574139,6.794424681644133,1.2404865544687829,2.431353646758814,68.28688532395272,1.4907032999901273,0.5334413249819625,304.9798281334612,6.211717435153888,2.2228345365868534,0.010329914093017579,0.0017609579738534864,0.061818193077730635,0.0029129097012905916,0.0,0.0,0.0,0.0,0.0,0.0
baseline_ab,baseline_B,MILP+BalancedPrice,30,0.0,0.0,373.2667134574139,6.794424681644133,1.2404865544687829,2.431353646758814,68.28688532395272,1.4907032999901273,0.5334413249819625,304.9798281334612,6.211717435153888,2.2228345365868534,0.00727698008219401,0.0018279555968642148,0.03254137788123141,0.00045724879666196166,0.0,0.0,0.0,0.0,0.0,0.0
baseline_ab,baseline_B,MILP+BestFit,30,0.0,0.0,781.3387939275271,18.42662693819436,3.3642264109271345,6.593883765417184,68.28688532395272,1.4907032999901273,0.5334413249819625,713.0519086035744,18.42351117131465,6.592768802558607,0.007307799657185873,0.0018477247858092849,0.005888644450654586,0.007143085667927872,0.0,0.0,0.0,0.0,0.0,0.0
